Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"10,458,260","10,856,260","12,147,490","11,714,490","11,585,560","11,958,260","12,487,600","12,725,150","13,826,100","14,357,170","14,217,170","14,230,290","14,093,530","14,050,410","14,662,960","15,131,630","15,172,910","15,290,920","14,533,620","14,053,000","13,985,979","13,703,209","13,750,337","13,646,642","13,941,625","14,097,950","14,382,852","14,211,541","14,007,265","13,689,216","13,122,113","12,410,323","12,198,491","11,303,198","11,207,143"
Drug Abuse Violations -Total,"580,900","559,900","676,000","661,400","708,400","811,400","824,100","937,400","1,155,200","1,361,700","1,089,500","1,010,000","1,066,400","1,126,300","1,351,400","1,476,100","1,506,200","1,583,600","1,559,100","1,532,200","1,579,566","1,586,902","1,538,813","1,678,192","1,746,570","1,846,351","1,889,810","1,841,182","1,702,537","1,663,582","1,638,846","1,531,251","1,552,432","1,501,043","1,561,231"
Drug-Sale-Manufacturing-Total,"129,725","113,685","138,691","146,781","159,762","192,972","209,009","242,051","326,271","436,624","347,915","359,426","335,968","330,680","353,873","364,083","368,503","352,038","348,965","328,144","327,157","325,604","308,615","341,290","326,397","343,698","336,780","326,958","304,989","310,505","302,312","281,173","277,802","269,271","265,903"
Drug-Possession-SubTotal,"451,175","446,214","537,309","514,619","548,638","618,428","615,091","695,349","828,929","925,076","741,585","650,574","730,432","795,618","997,527","1,112,017","1,137,697","1,231,562","1,210,135","1,204,056","1,252,409","1,261,298","1,230,198","1,336,902","1,420,173","1,502,653","1,553,030","1,514,224","1,397,548","1,353,077","1,336,532","1,250,078","1,274,630","1,231,772","1,295,328"
Population,"227,224,681","229,465,714","231,664,458","233,791,994","235,824,902","237,923,795","240,132,887","242,288,918","244,498,982","246,819,230","249,622,814","252,980,941","256,514,224","259,918,588","263,125,821","266,278,393","269,394,284","272,646,925","275,854,104","279,040,168","282,165,844","285,049,647","287,745,630","290,242,027","292,936,109","295,618,454","298,431,771","301,393,632","304,177,401","306,656,290","309,347,057","311,721,632","314,112,078","316,497,531","318,857,056"
