Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"1,727,507","1,703,118","1,706,723","1,529,797","1,514,838","1,584,162","1,628,549","1,623,981","1,728,815","1,724,427","1,707,692","1,792,449","1,790,213","1,850,799","2,052,713","2,091,126","2,138,758","2,082,906","1,881,197","1,725,430","1,668,485","1,598,361","1,600,567","1,570,234","1,532,681","1,518,138","1,575,488","1,533,420","1,474,705","1,328,066","1,162,607","1,041,326","936,337","770,324","729,878"
Drug Abuse Violations -Total,"91,534","77,096","76,519","65,317","70,645","79,386","70,126","76,218","91,578","99,422","72,094","71,696","80,179","100,451","140,363","171,293","184,258","186,520","173,371","163,865","168,690","169,909","156,927","165,010","159,958","160,105","165,491","164,280","151,478","143,635","142,437","123,816","116,125","95,738","91,121"
Drug-Sale-Manufacturing-Total,"14,014","10,120","10,941","10,377","12,186","15,652","16,080","20,488","30,941","39,178","27,479","32,003","28,870","31,534","36,927","40,506","42,382","37,999","35,226","31,847","31,401","29,815","28,296","30,172","27,531","27,379","27,584","26,268","23,065","21,782","20,635","17,856","15,959","13,277","12,099"
Drug-Possession-SubTotal,"77,520","66,976","65,578","54,939","58,459","63,734","54,046","55,730","60,637","60,244","44,615","39,692","51,309","68,917","103,437","130,787","141,876","148,521","138,145","132,017","137,289","140,094","128,631","134,838","132,428","132,726","137,907","138,012","128,414","121,853","121,802","105,960","100,166","82,461","79,022"
Population,"32,549,516","32,316,729","32,118,199","32,003,713","31,970,116","32,053,836","32,185,260","32,291,446","32,395,420","32,504,923","32,904,079","33,469,108","34,083,762","34,645,052","35,184,738","35,614,072","36,006,261","36,357,378","36,621,007","36,883,511","37,105,547","37,276,923","37,429,263","37,529,961","37,647,340","37,778,592","37,910,450","38,079,392","38,131,205","38,137,779","37,910,431","37,788,529","37,669,396","37,604,602","37,583,547"
