Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"7,099,414","7,415,058","8,481,565","8,257,987","8,149,798","8,312,786","8,711,206","8,851,770","9,643,545","10,040,022","9,926,539","9,784,468","9,647,935","9,487,838","9,687,702","9,966,801","9,896,559","9,981,576","9,558,808","9,330,148","9,302,752","9,092,575","8,994,899","8,913,539","9,100,140","9,214,711","9,396,659","9,243,996","9,106,008","8,903,887","8,629,585","8,162,915","8,077,780","7,541,587","7,489,127"
Drug Abuse Violations -Total,"412,091","409,321","507,352","503,577","539,889","620,664","635,849","720,868","885,443","1,040,750","836,065","773,520","813,990","845,039","989,199","1,060,979","1,070,604","1,126,616","1,117,959","1,103,329","1,138,289","1,140,473","1,105,161","1,206,870","1,257,304","1,332,636","1,365,680","1,328,197","1,235,730","1,209,716","1,182,426","1,104,317","1,121,204","1,088,231","1,128,974"
Drug-Sale-Manufacturing-Total,"97,723","87,452","107,863","115,528","125,097","151,025","163,686","186,607","248,082","331,879","266,572","275,146","257,914","252,016","266,109","269,779","270,688","259,459","257,881","243,736","243,989","245,159","231,908","256,859","244,572","256,966","251,804","245,651","231,057","235,204","228,416","212,435","210,270","204,400","201,011"
Drug-Possession-SubTotal,"314,368","321,868","399,488","388,049","414,793","469,639","472,164","534,261","637,360","708,872","569,494","498,374","556,075","593,023","723,090","791,200","799,916","867,157","860,078","859,594","894,300","895,315","873,253","950,011","1,012,732","1,075,670","1,113,876","1,082,546","1,004,673","974,512","954,010","891,882","910,934","883,831","927,963"
Population,"77,849,214","79,186,203","80,461,210","81,643,283","82,700,145","83,675,698","84,679,899","85,669,363","86,690,118","87,772,592","88,809,685","89,947,127","91,163,384","92,325,548","93,412,741","94,601,299","95,801,223","97,116,148","98,508,897","99,919,362","101,353,203","102,725,333","103,993,496","105,163,113","106,514,426","107,813,689","109,187,112","110,573,832","111,995,759","113,298,506","114,179,053","115,506,106","116,859,177","118,136,766","119,352,940"
