Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"1,188,977","1,303,963","1,515,058","1,514,516","1,496,432","1,610,451","1,685,767","1,779,030","1,970,924","2,112,726","2,085,048","2,135,061","2,128,636","2,143,525","2,246,231","2,369,787","2,411,557","2,489,582","2,413,697","2,362,426","2,382,820","2,386,322","2,505,383","2,524,231","2,657,459","2,734,351","2,772,695","2,796,315","2,800,161","2,878,742","2,849,883","2,777,274","2,800,668","2,679,959","2,693,784"
Drug Abuse Violations -Total,"59,069","58,823","77,255","79,792","85,345","97,642","106,547","128,686","165,126","208,386","172,265","156,283","162,688","168,502","202,801","219,407","223,610","241,326","240,316","237,638","243,779","245,576","246,953","273,814","295,954","320,848","327,066","317,619","287,404","283,548","285,846","278,190","291,190","295,710","318,673"
Drug-Sale-Manufacturing-Total,"15,684","14,366","18,005","19,208","20,813","24,392","27,402","32,829","44,404","62,046","51,321","49,702","46,689","44,488","47,589","49,939","51,092","50,452","51,762","48,720","47,766","46,854","44,591","50,179","50,267","55,360","53,550","51,417","47,539","50,302","50,095","47,914","49,083","49,187","50,433"
Drug-Possession-SubTotal,"43,386","44,457","59,250","60,584","64,533","73,250","79,145","95,856","120,722","146,340","120,943","106,582","115,999","124,012","155,212","169,468","172,518","190,873","188,553","188,918","196,013","198,722","202,363","223,635","245,687","265,487","273,516","266,202","239,865","233,246","235,751","230,276","242,107","246,524","268,240"
Population,"85,692,014","87,067,906","88,390,727","89,582,798","90,642,172","91,624,406","92,587,559","93,563,386","94,561,954","95,590,434","96,594,617","97,720,796","98,841,663","99,998,102","101,072,145","102,203,955","103,359,549","104,610,040","105,913,801","107,174,757","108,424,816","109,578,290","110,688,610","111,805,310","112,910,821","114,036,436","115,214,814","116,456,829","117,705,453","118,862,278","121,044,963","122,298,267","123,541,075","124,750,558","125,920,498"
