Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"8,288,391","8,719,021","9,996,624","9,772,504","9,646,230","9,923,236","10,396,974","10,630,800","11,614,469","12,152,748","12,011,587","11,919,529","11,776,570","11,631,362","11,933,933","12,336,588","12,308,115","12,471,159","11,972,505","11,692,574","11,685,571","11,478,898","11,500,282","11,437,770","11,757,599","11,949,062","12,169,354","12,040,311","11,906,169","11,782,629","11,479,467","10,940,189","10,878,448","10,221,547","10,182,911"
Drug Abuse Violations -Total,"471,160","468,144","584,607","583,369","625,235","718,306","742,397","849,554","1,050,569","1,249,136","1,008,330","929,803","976,678","1,013,541","1,192,000","1,280,386","1,294,214","1,367,942","1,358,275","1,340,967","1,382,068","1,386,049","1,352,115","1,480,684","1,553,258","1,653,484","1,692,745","1,645,816","1,523,134","1,493,264","1,468,272","1,382,507","1,412,394","1,383,942","1,447,647"
Drug-Sale-Manufacturing-Total,"113,406","101,818","125,868","134,736","145,909","175,417","191,088","219,437","292,486","393,925","317,893","324,847","304,603","296,504","313,697","319,718","321,780","309,912","309,643","292,456","291,755","292,013","276,499","307,038","294,839","312,327","305,353","297,068","278,596","285,506","278,511","260,349","259,353","253,587","251,444"
Drug-Possession-SubTotal,"357,754","366,325","458,739","448,633","479,326","542,889","551,309","630,117","758,083","855,211","690,437","604,955","672,074","717,035","878,302","960,668","972,434","1,058,030","1,048,632","1,048,512","1,090,313","1,094,037","1,075,616","1,173,646","1,258,419","1,341,157","1,387,392","1,348,748","1,244,538","1,207,758","1,189,761","1,122,159","1,153,041","1,130,355","1,196,203"
Population,"163,541,228","166,254,109","168,851,937","171,226,081","173,342,317","175,300,104","177,267,458","179,232,749","181,252,072","183,363,026","185,404,302","187,667,923","190,005,047","192,323,650","194,484,886","196,805,254","199,160,772","201,726,188","204,422,698","207,094,119","209,778,019","212,303,623","214,682,106","216,968,423","219,425,247","221,850,125","224,401,926","227,030,661","229,701,212","232,160,784","235,224,016","237,804,373","240,400,252","242,887,324","245,273,438"
