Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"2,529,059","2,759,103","3,208,878","3,058,203","3,001,863","3,172,734","3,391,961","3,589,795","4,009,328","4,275,546","4,023,754","4,099,840","4,273,293","4,313,209","4,432,474","4,582,105","4,451,274","4,561,174","4,293,862","4,066,837","4,023,525","3,945,300","3,759,528","3,741,338","3,780,801","3,883,795","3,969,067","3,932,107","3,906,175","3,831,588","3,655,619","3,474,965","3,421,356","3,173,889","3,115,383"
Drug Abuse Violations -Total,"135,157","140,416","176,959","190,336","209,725","245,149","273,377","325,381","448,623","556,579","439,981","418,598","431,249","440,899","503,576","550,247","555,580","575,274","575,331","546,750","553,905","552,382","519,885","557,171","581,464","617,744","656,229","636,337","585,118","554,105","519,826","481,425","482,400","454,928","454,960"
Drug-Sale-Manufacturing-Total,"43,874","36,311","43,935","52,451","61,445","73,458","90,531","109,076","164,609","228,844","170,821","186,711","165,277","165,710","173,455","181,238","182,511","174,362","174,584","158,396","154,264","158,364","147,220","162,531","148,549","157,470","156,686","151,503","136,137","127,770","116,833","105,979","104,529","97,531","93,713"
Drug-Possession-SubTotal,"91,289","104,072","132,982","137,854","148,235","171,655","182,776","216,203","283,906","327,707","269,134","231,857","265,905","275,095","329,899","368,923","372,944","400,789","400,552","388,155","399,464","393,733","372,254","394,133","432,566","461,036","499,385","484,665","448,911","426,223","402,940","375,420","377,827","357,349","361,176"
Population,"26,770,892","27,133,462","27,508,375","27,867,387","28,212,466","28,568,659","28,941,778","29,324,515","29,722,959","30,143,402","30,648,345","31,290,743","31,979,982","32,634,735","33,258,981","33,847,306","34,415,478","35,007,679","35,594,140","36,173,121","36,721,941","37,195,991","37,638,318","38,036,719","38,499,920","38,968,131","39,468,362","40,005,475","40,525,245","41,009,869","42,200,870","42,725,821","43,257,112","43,785,446","44,309,394"
