Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"2,169,869","2,137,239","2,150,866","1,941,986","1,939,330","2,035,024","2,090,626","2,094,350","2,211,631","2,204,422","2,205,583","2,310,761","2,316,960","2,419,048","2,729,027","2,795,042","2,864,795","2,819,761","2,561,115","2,360,426","2,300,408","2,224,311","2,250,055","2,208,872","2,184,026","2,148,888","2,213,498","2,171,230","2,101,096","1,906,587","1,642,646","1,470,134","1,320,043","1,081,651","1,024,232"
Drug Abuse Violations -Total,"109,740","91,756","91,393","78,031","83,165","93,094","81,703","87,846","104,631","112,564","81,170","80,197","89,722","112,759","159,400","195,714","211,986","215,658","200,825","191,233","197,498","200,853","186,698","197,508","193,312","192,867","197,065","195,366","179,403","170,318","170,574","148,744","140,038","117,101","113,584"
Drug-Sale-Manufacturing-Total,"16,319","11,867","12,822","12,045","13,852","17,555","17,921","22,614","33,785","42,699","30,022","34,578","31,365","34,176","40,175","44,365","46,723","42,127","39,322","35,688","35,402","33,591","32,117","34,252","31,559","31,372","31,427","29,890","26,393","24,998","23,801","20,824","18,449","15,685","14,458"
Drug-Possession-SubTotal,"93,421","79,888","78,571","65,986","69,313","75,539","63,783","65,232","70,846","69,865","51,148","45,619","58,357","78,583","119,225","151,349","165,263","173,531","161,503","155,544","162,096","167,262","154,582","163,256","161,753","161,496","165,638","165,475","153,010","145,319","146,771","127,919","121,589","101,416","99,125"
Population,"63,683,453","63,211,605","62,812,521","62,565,913","62,482,585","62,623,691","62,865,429","63,056,169","63,246,910","63,456,204","64,218,512","65,313,018","66,509,177","67,594,938","68,640,935","69,473,139","70,233,512","70,920,737","71,431,406","71,946,049","72,387,825","72,746,024","73,063,524","73,273,604","73,510,862","73,768,329","74,029,845","74,362,971","74,476,189","74,495,506","74,123,041","73,917,259","73,711,826","73,610,207","73,583,618"
