Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"1,631,339","1,738,084","1,959,202","1,926,706","1,920,925","2,061,313","2,147,845","2,249,399","2,453,740","2,592,721","2,582,939","2,653,373","2,655,382","2,711,773","2,922,545","3,073,703","3,137,594","3,226,438","3,093,614","2,997,421","3,014,742","3,012,273","3,154,871","3,162,869","3,308,804","3,365,101","3,410,705","3,434,125","3,426,552","3,457,263","3,329,921","3,206,082","3,184,373","2,991,287","2,988,138"
Drug Abuse Violations -Total,"77,275","73,484","92,130","92,507","97,865","111,350","118,124","140,314","178,179","221,528","181,341","164,785","172,231","180,810","221,838","243,828","251,338","270,463","267,771","265,006","272,588","276,520","276,724","306,312","329,308","353,610","358,640","348,705","315,329","310,231","313,983","303,118","315,103","317,074","341,136"
Drug-Sale-Manufacturing-Total,"17,989","16,113","19,886","20,876","22,479","26,295","29,243","34,956","47,248","65,567","53,865","52,277","49,184","47,130","50,837","53,798","55,433","54,580","55,858","52,561","51,767","50,630","48,411","54,259","54,295","59,353","57,393","55,039","50,867","53,518","53,261","50,882","51,573","51,595","52,792"
Drug-Possession-SubTotal,"59,286","57,369","72,243","71,631","75,386","85,055","88,881","105,359","130,932","155,961","127,476","112,508","123,047","133,678","171,000","190,030","195,905","215,883","211,912","212,445","220,820","225,889","228,314","252,053","275,013","294,257","301,247","293,666","264,462","256,712","260,720","252,236","263,530","265,479","288,344"
Population,"116,825,951","117,962,782","119,085,049","120,144,998","121,154,641","122,194,261","123,267,728","124,328,109","125,413,444","126,541,715","127,909,050","129,564,706","131,267,078","132,947,988","134,528,342","136,063,022","137,586,800","139,173,399","140,724,200","142,237,295","143,707,094","145,047,391","146,322,871","147,548,953","148,774,343","150,026,173","151,334,209","152,740,408","154,050,437","155,220,005","157,257,573","158,426,997","159,583,505","160,756,163","161,920,569"
