Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"7,743,889","7,922,506","8,749,550","8,469,965","8,394,958","8,572,862","8,883,913","8,898,156","9,555,392","9,852,937","9,925,854","9,846,222","9,529,394","9,446,729","9,918,029","10,214,118","10,352,677","10,366,712","9,901,244","9,656,650","9,636,943","9,441,934","9,645,878","9,565,828","9,823,752","9,873,670","10,071,398","9,932,687","9,754,700","9,504,857","9,122,011","8,596,606","8,418,616","7,809,933","7,771,915"
Drug Abuse Violations -Total,"440,692","414,158","492,614","464,296","491,971","557,696","543,521","604,032","696,399","797,072","641,096","582,731","625,326","674,756","834,472","910,293","933,390","988,840","965,556","966,783","1,005,853","1,014,107","997,627","1,097,610","1,141,852","1,202,924","1,208,364","1,179,813","1,093,965","1,086,003","1,093,909","1,025,251","1,040,991","1,016,730","1,074,359"
Drug-Sale-Manufacturing-Total,"85,229","76,789","93,730","93,179","96,998","117,961","117,423","131,598","159,461","205,779","175,286","170,448","168,525","162,655","177,832","179,845","182,597","174,242","171,246","166,576","169,537","163,958","157,860","174,691","173,787","181,652","176,169","171,582","165,294","178,951","181,374","170,969","168,073","166,424","166,681"
Drug-Possession-SubTotal,"355,458","337,397","398,923","371,145","395,014","439,767","426,162","472,530","537,041","591,320","465,834","412,314","456,865","512,190","656,858","730,529","750,910","814,712","794,493","800,394","836,485","850,421","840,168","923,403","968,399","1,020,505","1,032,345","1,008,390","928,736","907,156","912,582","854,305","872,959","850,352","907,747"
Population,"195,184,495","196,634,975","198,037,449","199,419,922","200,707,685","202,031,150","203,429,727","204,770,105","206,129,039","207,540,027","209,366,661","211,606,011","213,945,622","216,187,073","218,304,774","220,384,783","222,420,050","224,553,464","226,648,119","228,687,790","230,594,824","232,511,990","234,290,692","235,935,468","237,717,693","239,463,913","241,307,898","243,260,572","245,059,911","246,622,506","245,752,335","247,002,167","248,247,043","249,446,378","250,630,467"
