Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"8,826,921","9,118,176","10,188,288","9,787,784","9,664,635","9,896,947","10,339,755","10,475,751","11,372,360","11,764,449","11,634,231","11,576,917","11,438,148","11,338,637","11,740,415","12,057,927","12,035,316","12,064,482","11,440,006","11,055,579","10,971,237","10,690,936","10,595,466","10,483,773","10,632,821","10,732,849","10,972,147","10,777,416","10,580,713","10,231,953","9,792,192","9,204,241","9,014,118","8,311,911","8,219,005"
Drug Abuse Violations -Total,"503,625","486,416","583,870","568,893","610,535","700,050","705,976","797,086","977,021","1,140,172","908,159","845,215","894,169","945,490","1,129,562","1,232,272","1,254,862","1,313,137","1,291,329","1,267,194","1,306,978","1,310,382","1,262,089","1,371,880","1,417,262","1,492,741","1,531,170","1,492,477","1,387,208","1,353,351","1,324,863","1,228,133","1,237,329","1,183,969","1,220,095"
Drug-Sale-Manufacturing-Total,"111,736","97,572","118,804","125,905","137,283","166,677","179,766","207,095","279,024","371,056","294,050","307,149","286,785","283,550","303,035","310,285","313,070","297,458","293,106","275,583","275,390","274,973","260,205","287,031","272,102","284,346","279,387","271,919","254,122","256,986","249,051","230,291","226,229","217,677","213,111"
Drug-Possession-SubTotal,"391,889","388,844","465,066","442,988","473,252","533,373","526,210","589,991","697,997","769,115","614,109","538,066","607,384","661,940","826,527","921,987","941,792","1,015,678","998,223","991,611","1,031,589","1,035,409","1,001,884","1,084,849","1,145,160","1,208,396","1,251,783","1,220,558","1,133,087","1,096,365","1,075,812","997,842","1,011,100","966,293","1,006,985"
Population,"110,398,730","111,502,932","112,579,409","113,646,996","114,670,261","115,729,534","116,865,159","117,960,809","119,085,538","120,277,515","121,713,764","123,416,235","125,247,146","126,970,600","128,597,479","130,215,371","131,807,484","133,473,526","135,129,904","136,802,873","138,458,750","140,002,256","141,422,759","142,693,074","144,161,766","145,592,281","147,097,562","148,653,224","150,126,964","151,436,285","152,089,484","153,294,635","154,528,573","155,741,368","156,936,487"
