Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Offenses,"2,062,456","2,232,134","2,673,302","2,580,636","2,538,216","2,694,239","2,892,998","3,074,098","3,442,743","3,677,641","3,449,257","3,486,199","3,631,308","3,632,921","3,679,134","3,812,335","3,705,084","3,827,616","3,634,139","3,464,127","3,436,969","3,352,199","3,171,410","3,137,548","3,168,455","3,238,008","3,306,753","3,273,728","3,262,703","3,235,077","3,142,671","3,010,125","2,992,731","2,804,188","2,760,038"
Drug Abuse Violations -Total,"120,044","125,606","160,965","175,492","193,175","224,934","250,712","296,204","405,363","503,690","400,596","376,715","386,840","391,535","444,477","479,899","483,060","505,585","511,375","489,706","498,373","499,093","470,612","504,840","528,255","561,748","597,912","579,847","536,536","510,803","479,200","446,781","449,566","426,566","428,852"
Drug-Sale-Manufacturing-Total,"39,921","33,715","40,724","48,829","56,679","67,219","81,783","96,181","142,617","200,583","151,354","162,850","145,241","144,566","150,945","156,952","157,439","152,527","154,553","140,779","137,913","142,431","131,534","145,660","133,168","142,004","141,340","137,294","124,545","118,034","108,950","99,558","98,955","92,909","89,577"
Drug-Possession-SubTotal,"80,128","91,863","120,209","126,640","136,464","157,688","168,890","199,978","262,700","303,090","249,223","213,844","241,566","246,924","293,359","322,910","325,579","353,011","356,738","348,849","360,415","356,560","338,937","358,952","395,006","420,672","456,562","442,518","412,024","392,771","370,244","347,225","350,592","333,618","339,219"
Population,"17,306,552","17,701,027","18,094,668","18,472,644","18,823,525","19,141,067","19,457,212","19,768,219","20,072,861","20,408,353","20,746,444","21,134,451","21,544,490","21,931,422","22,306,345","22,707,106","23,113,877","23,562,875","24,033,380","24,479,009","24,927,196","25,344,116","25,744,806","26,126,510","26,567,653","27,001,611","27,468,234","27,959,506","28,479,787","28,971,968","29,886,745","30,461,227","31,026,598","31,551,391","32,042,637"
